time,value
01/08/2016 00:00:00,64.6433334350586
01/08/2016 00:05:00,64.77666473388672
01/08/2016 00:10:00,64.85333251953125
01/08/2016 00:15:00,65.0
01/08/2016 00:20:00,65.1866683959961
01/08/2016 00:25:00,65.2933349609375
01/08/2016 00:30:00,65.3133316040039
01/08/2016 00:35:00,65.33333587646484
01/08/2016 00:40:00,65.48999786376953
01/08/2016 00:45:00,65.5566635131836
01/08/2016 00:50:00,65.69666290283203
01/08/2016 00:55:00,65.79666900634766
01/08/2016 01:00:00,65.70999908447266
01/08/2016 01:05:00,65.72666931152344
01/08/2016 01:10:00,65.76333618164062
01/08/2016 01:15:00,65.77666473388672
01/08/2016 01:20:00,65.66999816894531
01/08/2016 01:25:00,65.5999984741211
01/08/2016 01:30:00,65.62000274658203
01/08/2016 01:35:00,65.61666870117188
01/08/2016 01:40:00,65.76333618164062
01/08/2016 01:45:00,65.86000061035156
01/08/2016 01:50:00,65.87333679199219
01/08/2016 01:55:00,65.99333190917969
01/08/2016 02:00:00,66.03666687011719
01/08/2016 02:05:00,66.13666534423828
01/08/2016 02:10:00,66.43333435058594
01/08/2016 02:15:00,66.78666687011719
01/08/2016 02:20:00,67.07666778564453
01/08/2016 02:25:00,67.33999633789062
01/08/2016 02:30:00,67.55333709716797
01/08/2016 02:35:00,67.73666381835938
01/08/2016 02:40:00,67.87999725341797
01/08/2016 02:45:00,68.00333404541016
01/08/2016 02:50:00,68.163330078125
01/08/2016 02:55:00,68.26667022705078
01/08/2016 03:00:00,68.44666290283203
01/08/2016 03:05:00,68.58999633789062
01/08/2016 03:10:00,68.77999877929688
01/08/2016 03:15:00,68.86666870117188
01/08/2016 03:20:00,69.03666687011719
01/08/2016 03:25:00,69.26333618164062
01/08/2016 03:30:00,69.40333557128906
01/08/2016 03:35:00,69.40333557128906
01/08/2016 03:40:00,69.40666961669922
01/08/2016 03:45:00,69.40333557128906
01/08/2016 03:50:00,69.4000015258789
01/08/2016 03:55:00,69.42333221435547
01/08/2016 04:00:00,69.56999969482422
01/08/2016 04:05:00,68.37666320800781
01/08/2016 04:10:00,67.25
01/08/2016 04:15:00,66.63333129882812
01/08/2016 04:20:00,66.22666931152344
01/08/2016 04:25:00,65.88333129882812
01/08/2016 04:30:00,65.71666717529297
01/08/2016 04:35:00,65.69999694824219
01/08/2016 04:40:00,65.7300033569336
01/08/2016 04:45:00,65.71666717529297
01/08/2016 04:50:00,65.6933364868164
01/08/2016 04:55:00,65.5999984741211
01/08/2016 05:00:00,65.5999984741211
01/08/2016 05:05:00,65.50666809082031
01/08/2016 05:10:00,65.0
01/08/2016 05:15:00,64.40333557128906
01/08/2016 05:20:00,64.04666900634766
01/08/2016 05:25:00,63.84333419799805
01/08/2016 05:30:00,63.753334045410156
01/08/2016 05:35:00,63.78666687011719
01/08/2016 05:40:00,63.79999923706055
01/08/2016 05:45:00,63.893333435058594
01/08/2016 05:50:00,63.94333267211914
01/08/2016 05:55:00,64.10333251953125
01/08/2016 06:00:00,64.11000061035156
01/08/2016 06:05:00,63.9900016784668
01/08/2016 06:10:00,63.900001525878906
01/08/2016 06:15:00,63.900001525878906
01/08/2016 06:20:00,64.00666809082031
01/08/2016 06:25:00,64.11333465576172
01/08/2016 06:30:00,64.19999694824219
01/08/2016 06:35:00,64.25333404541016
01/08/2016 06:40:00,64.37000274658203
01/08/2016 06:45:00,64.4000015258789
01/08/2016 06:50:00,64.39666748046875
01/08/2016 06:55:00,64.3133316040039
01/08/2016 07:00:00,64.2699966430664
01/08/2016 07:05:00,64.19999694824219
01/08/2016 07:10:00,64.13666534423828
01/08/2016 07:15:00,64.2300033569336
01/08/2016 07:20:00,64.58999633789062
01/08/2016 07:25:00,68.23332977294922
01/08/2016 07:30:00,71.44666290283203
01/08/2016 07:35:00,73.97333526611328
01/08/2016 07:40:00,75.8066635131836
01/08/2016 07:45:00,76.84666442871094
